Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount,Stock Split Ex Date,Stock Split Pay Date,Stock Split New ISIN,Stock Split Rate of Share Outturn From,Stock Split Rate of Share Outturn To,Stock Split Maintain Holding of Initial ISIN,Stock Split New Share Quantity,Stock Split Rate of Cash Outturn Amount,Stock Split Rate of Cash Outturn Currency,Stock Split Cash Outturn Received Amount,Stock Split Has Fractional Payout,Stock Split Rate of Fractional Payout Amount,Stock Split Rate of Fractional Payout Currency,Stock Split Fractional Payout Cash Received Amount,Stock Split Fractional Payout Cash Received Currency
July Statement,MONTHLY_STATEMENT,2025-07-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnergyInc,DIVIDEND,2025-06-18T10:45:00.000Z,GBP,2.25,,ENRG,US2468135790,,,15.00000000,,,,USD,,,,0.79200000,0,0.00,2025-05-20,2025-06-18,15.00000000,0.22000000,3.30,2.81,15,0.50,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-06-16T00:00:00.000Z,GBP,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June Statement,MONTHLY_STATEMENT,2025-06-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PharmaCo,ORDER,2025-05-22T16:20:10.789Z,GBP,3200.00,BUY,PHRM,US3691258147,64.00000000,0.00,50.00000000,NASDAQ,ORD456789012,BASIC,USD,4100.00,82.00000000,1.28125000,1.27650000,39,12.50,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-05-16T00:00:00.000Z,GBP,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May Statement,MONTHLY_STATEMENT,2025-05-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TravelGroup,ORDER,2025-04-18T11:45:30.234Z,GBP,1500.00,SELL,TRVL,US8520369741,37.50000000,0.00,40.00000000,Multiple,ORD741852963,MARKET,USD,1920.00,48.00000000,1.28000000,1.27520000,39,5.88,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-04-15T00:00:00.000Z,GBP,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April Statement,MONTHLY_STATEMENT,2025-04-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MediaCorp,DIVIDEND,2025-03-25T14:20:00.000Z,GBP,1.80,,MDIA,GB5544332211,,,12.00000000,,,,GBP,,,,1.00000000,0,0.00,2025-03-01,2025-03-25,12.00000000,0.15000000,1.80,1.80,0,0.00,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-03-17T00:00:00.000Z,GBP,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March Statement,MONTHLY_STATEMENT,2025-03-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoManufacturer,ORDER,2025-02-28T10:30:45.567Z,GBP,4500.00,BUY,AUTO,DE0007100000,150.00000000,0.00,30.00000000,XETRA,ORD159753486,BASIC,EUR,5250.00,175.00000000,1.16666667,1.16200000,39,17.62,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-02-15T00:00:00.000Z,GBP,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February Statement,MONTHLY_STATEMENT,2025-02-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FoodRetail,ORDER,2025-01-20T15:10:20.890Z,GBP,2200.00,SELL,FOOD,GB7788990011,55.00000000,0.00,40.00000000,London Stock Exchange,ORD852369741,MARKET,GBP,2200.00,55.00000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-01-16T00:00:00.000Z,GBP,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January Statement,MONTHLY_STATEMENT,2025-01-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechCorp,DIVIDEND,2024-12-18T12:15:00.000Z,GBP,3.20,,TECH,US1234567890,,,10.00000000,,,,USD,,,,0.81200000,0,0.00,2024-11-22,2024-12-18,10.00000000,0.50000000,5.00,4.25,15,0.75,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2024-12-16T00:00:00.000Z,GBP,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December Statement,MONTHLY_STATEMENT,2024-12-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Withdrawal,WITHDRAWAL,2024-11-15T14:30:00.000Z,GBP,5000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2024-11-15T00:00:00.000Z,GBP,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November Statement,MONTHLY_STATEMENT,2024-11-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinanceGroup,ORDER,2024-10-25T13:45:15.345Z,GBP,3000.00,BUY,FING,US9876543210,60.00000000,0.00,50.00000000,New York Stock Exchange,ORD963852741,BASIC,USD,3850.00,77.00000000,1.28333333,1.27860000,39,11.74,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2024-10-15T00:00:00.000Z,GBP,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October Statement,MONTHLY_STATEMENT,2024-10-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2024-09-30T09:00:00.000Z,GBP,10000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PropertyInvestment,ORDER,2024-09-15T16:20:30.678Z,GBP,5500.00,BUY,PROP,GB3344556677,110.00000000,0.00,50.00000000,London Stock Exchange,ORD147258369,MARKET,GBP,5500.00,110.00000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2024-09-16T00:00:00.000Z,GBP,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September Statement,MONTHLY_STATEMENT,2024-09-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
